Doc,Company,Year,Text
Doc34,ACI Worldwide ,2000," TSA technology forms the infrastructure that manages high-volume consumer e-payments where they occur today, and we??re increasingly involved in supporting the e-payments of tomorrow.We??re focusing our investment and development on all consumer e-payments, from traditional debit and credit card systems for which we are known, to emerging e-commerce, wireless and mobile commerce (m-commerce), and Internet e-payment systems. "
Doc35,ACI Worldwide ,2000," TRADITIONAL CONSUMER E-PAYMENTS This is the consumer e-payments environment where transactions are today, and it??s where TSA is the clear market leader. Our proven, 24/7 software powers some of the largest e-payment networks in the world, making it possible for banks and retailers to offer roundthe- clock financial services. These are the systems that enable travelers to withdraw money from an ATM halfway around the world and that allow shoppers to pay for groceries with the swipe of a credit or debit card. "
Doc36,ACI Worldwide ,2000," In spite of all the excitement surrounding the Web and e-commerce, traditional debit and credit card use still makes up more than 90 percent of consumer e-payments. And transaction volumes generated by these traditional consumer payments continue to grow. As volumes increase,TSA??s robust, scalable systems become even more valuable to existing customers and an attractive option to other organizations looking for a proven way to manage consumer e-payments. "
Doc37,ACI Worldwide ,2000," Emerging consumer e-payments e-commerce, wireless and m-commerce still require authorization, settlement and exception management systems to complete transactions.These essential systems are the very ones used today by more than 2,400 TSA customers in 79 countries. "
Doc38,ACI Worldwide ,2000," A quarter century ago, the idea that consumers could access their money from an ATM anywhere in the world or purchase a new pair of shoes by electronically debiting their bank account was considered the stuff of science fiction.Today, TSA makes these consumer e-payments possible and a reliable part of everyday life. "
Doc39,ACI Worldwide ,2000," EMERGING CONSUMER E-PAYMENTS The Internet, wireless networks and other emerging technologies are changing the way we bank, pay bills, shop and manage our finances. "
Doc40,ACI Worldwide ,2000," Even though the numbers of these new transactions are relatively low, they??re expected to grow at a much faster rate than traditional consumer e-payments.We??re investing in and deploying new technologies to help our customers manage these emerging e-payments and extend their infrastructures to the virtual world. "
Doc41,ACI Worldwide ,2000," Our investment includes the acquisition of MessagingDirect Ltd., a Canadian-based company with roots in the secure document delivery space.We plan to use this technology in the rapidly emerging market for electronic statement presentation and electronic bill presentment and payment.We plan to marry this new technology with TSA??s best-of-breed e-payments solutions to help our customers use secure email to deliver statements and bills to consumers and get them paid.We??re extremely excited about this initiative, and our research indicates this could indeed be a ??killer app.?? The solution will save our customers money, offer them unique marketing opportunities and is ideal for a market with an incredible level of paper-based transactions to streamline. Right up our alley. Early market feedback from our customers is extremely positive. "
Doc42,ACI Worldwide ,2000," Additionally, we??re launching new e-commerce products designed to help retailers and financial institutions manage other virtual e-payments. These new solutions include a Personal Online Data (POD) e-wallet that earned TSA a ??best of show?? award at IDG World Expo??s Internet Commerce Expo (ICe) 2000. POD can be used with a variety of devices including PCs, wireless devices and digital televisions. It also helps to eliminate the cumbersome process of filling out online forms that can discourage consumers from shopping online. "
Doc43,ACI Worldwide ,2000," Around the world,TSA solutions are providing a ??payments portal?? that integrates wireless devices, the Internet and existing payments networks. Our solutions are always on just like the virtual world and offer cutting-edge security, convenience and performance. "
Doc44,ACI Worldwide ,2000, FUTURE CONSUMER E-PAYMENTS These are but a few examples of where our consumer e-payments technology fits today and where we are taking it. For more than 25 years we??ve been a leader in consumer e-payments from creation of one of the world??s first ATM networks to enabling today??s wireless and m-commerce services and we??re investing in a strategy to ensure we retain our leadership position. 
Doc45,ACI Worldwide ,2000," There are early signs that our strategy to focus on consumer e-payments is working. We believe our Q4 2000 revenue shows momentum is returning to our business. Q4 revenue in Europe was at a record level as early adopters embraced our new technology. As these new e-payment technologies spread around the globe, our pioneering work will give us the expertise and proven products to help other customers. "
Doc46,ACI Worldwide ,2000, We??re excited about the direction we??re taking the company and believe it is the right strategy to keep TSA at the forefront of the consumer e-payments market. 
Doc47,ACI Worldwide ,2000," TSA SOLUTIONS MANAGE WEB-BASED AND WIRELESS E-PAYMENTS DEUTSCHE BANK ITALY, one of the largest online merchant processors in Italy, licensed TSA e-commerce solutions to provide secure e-payment processing services. "
Doc48,ACI Worldwide ,2000, NATIONAL BANK OF GREECE uses TSA technology to offer consumers the ability to check their account balances via cell phone. Our software enables the bank to provide a variety of wireless services  including a messaging feature that notifies consumers when an important check has cleared or a deposit is credited. 
Doc49,ACI Worldwide ,2000," In Australia, TSA solutions make it possible for TELSTRA WIRELESS telephone customers to recharge their wireless phone service at an ATM. Instead of having to search out a service center, consumers can conveniently recharge their wireless service while on the go. "
Doc50,ACI Worldwide ,2000," From its base in Spain, MOVILPAY is using TSA technology to build an m-commerce system that will allow consumers to use their mobile telephones to pay for items at shops, vending machines, or on the Internet. MovilPay plans to roll out its innovative system to consumers in more than 30 countries around the world, each time using TSA software as the foundation. "
Doc51,ACI Worldwide ,2000," We??ve announced the corporate strategy to divest products and business units that do not fall within the consumer e-payments arena and are actively investing time, money and people in projects that extend our solutions to the Web and wireless environments. "
Doc52,ACI Worldwide ,2000, We??re leveraging our worldwide distribution network and employee expertise to provide the e-payment technology our customers need to do business in their corner of the globe and wherever they may reach. 
Doc53,ACI Worldwide ,2000," We're helping our customers manage consumer e-payments where they are now, and working to make sure we can help customers handle transactions wherever they may be tomorrow. "
Doc54,ACI Worldwide ,2000," We??re continuing to build solutions designed for consumers who expect always-available, convenient access to their money and shopping. "
Doc55,ACI Worldwide ,2000, We??re positioning TSA to take full advantage of the inevitable shift from paper to pulse. 
Doc56,ACI Worldwide ,2001,"As the saying goes, May you live in interesting times. Fiscal year 2001 was nothing if not interesting. When the year began, the dot.com bubble burst, and as the year ended, we found ourselves in a tense geopolitical environment after the events of September 11. Within our corner of the world, pressure on information technology spending caused many technology providers to reassess where they were and where they were heading. The world changed, and the road to success became more challenging to navigate. "
Doc57,ACI Worldwide ,2001," TSA also changed substantially in 2001. After examining our market position and our future prospects, we made fairly dramatic changes to our structure and our team. While we continued to enjoy a position as the leading global provider of electronic payment software, we reassessed where we were spending our money and how we were focused to not only retain our position, but strengthen it over time. It became clear that if we focused on the right initiatives, from R&D to sales and marketing, we had an opportunity to emerge from these chaotic times even stronger than before. History has shown that enduring companies are those with proven products and customers, a clear business plan, and the ability to adapt to change. "
Doc58,ACI Worldwide ,2001," We addressed our cost structure. We reduced our investments in solutions that, while promising and at times leading-edge, did not appear likely to pay off in the near to medium term. Our resulting cost structure and balance sheet put us in a better position to succeed. We ended the year with our lowest expense run rate in several years and had $32 million in cash. Our platform is sound and ready to be leveraged as global IT expenditures rebound. "
Doc59,ACI Worldwide ,2001," We addressed our research and development strategy, ensuring that our resources were applied to the right initiatives with a high level of focus and energy. We concentrated on initiatives that we believe will not only improve our competitive position, but also extend us into new markets. "
Doc60,ACI Worldwide ,2001," We reinforced our sales and marketing efforts, ensuring that our key messages were getting to market and that we were properly leveraging our global sales and delivery channels. The markets are proving to be receptive to our expanded solutions message, something we call the ACI Commerce Framework, essentially an integrated solution set for the complete range of needs along the e-commerce value chain. This is something no other software company can provide, and it??s a key component of an enduring, winning strategy for TSA. "
Doc61,ACI Worldwide ,2001," Industry reports show that people around the world continue to increase their use of electronic payment technologies, from traditional magnetic stripe credit and debit cards, to the rapidly increasing use of smart cards and mobile phones. TSA has products deployed today that address these needs ? not yet the true high-volume transaction drivers, but certainly the drivers of the future. Important new solutions will create new growth opportunities for TSA in e-commerce, mobile commerce, e-fraud management, smart cards, enterprise-wide payments authorization and secure document delivery and payment. "
Doc62,ACI Worldwide ,2001," TSA has over 2,300 customers in 81 countries. We continue to expand our market share, adding more than 170 new customers in fiscal 2001. Our software is deployed in the highest volume, most demanding e-payment systems in the world. We have competitive solutions for both traditional and emerging e-payment technologies, with more in the R&D stages. We have a new relationship with IBM that we expect will help us penetrate new markets where we have only just scratched the surface. Our new e-Courier solution for electronic document delivery and payment, obtained through the acquisition of MessagingDirect, Ltd., is gaining traction in the market and is a product applicable to multiple industries and uses. "
Doc63,ACI Worldwide ,2001," Perhaps most important, our employees continue to exhibit the expertise, motivation and staying power to secure our position well into the future. Our vision for an integrated e-payments architecture is clear and is aggressively being taken to market. Our broadened solutions focus is clearly differentiated from our competition. Our customers are growing their e-payment transaction volumes and seeking to work with us on new, innovative technologies. We continue to get feedback that the robust, high-quality nature of our software helps customers successfully manage their business. "
Doc64,ACI Worldwide ,2001," As an aside, we would like to thank Bill Fisher and Dave Russell for their dedication and commitment to the company over the years, and we wish them well in their new endeavors. The company has emerged from trying times more efficient and stronger than before. We appreciate the efforts of our global employee base and expect even greater things from them in the future. We thank you as shareholders for your support and interest in TSA. "
Doc65,ACI Worldwide ,2002,"Fiscal 2002 was a challenging year for TSA. The economy remained slow, and in the information technology industry where we compete, the environment was especially difficult. "
Doc66,ACI Worldwide ,2002," It was during this period that we both had the opportunity to join the company. With the help of TSA senior management, we made difficult decisions needed to help the company weather a tough business environment. Then as our business began to improve, we were forced to take on an unexpected challenge. In August, we initiated a re-audit of fiscal years 2000, 2001 and the first three quarters of the fiscal year 2002. The re-audit was prompted by an internal review of our business dealings with a former customer, the resulting determination that a restatement was required, and a prior change of our external auditors. It was a difficult but necessary process. As a result, we have changed our accounting policies relating to revenue recognition and filed restated financials for prior periods. "
Doc67,ACI Worldwide ,2002," Throughout the re-audit process, our employees maintained their focus on our day-to-day business and customers. We continued to deliver the robust solutions that financial institutions, retailers and payment processors require to handle their complex transaction processing needs. And, we leveraged our 27-year history, experienced staff, proven products and management depth to maintain our leadership position in providing e-payment solutions. "
Doc68,ACI Worldwide ,2002," During fiscal 2002 we: Consolidated key research and development and customer support functions to enhance economies of scale. Sold our Regency Systems business, which focused on the U.S. community banking market and was no longer strategic to TSA??s operations. Invested in open systems with BASE24-es?? and other products such as ACI Proactive Risk Manager?? to position us for future growth. "
Doc69,ACI Worldwide ,2002, These were some of the key decisions designed to help TSA maintain its leadership position in the e-payment solutions market. 
Doc70,ACI Worldwide ,2002," TSA serves the needs of large financial institutions, retailers and payment processors and maintains a market share that is considerably greater than our nearest e-payment software competitor. Our products address a steady move toward electronic payments in many forms, with a heritage founded on delivering robust solutions characterized by high levels of scale and reliability. "
Doc71,ACI Worldwide ,2002, We are indeed important to our customers as they depend on our e-payment solutions every second of every day. Our decades of experience has given us an in-depth understanding of complex transaction processing needs. 
Doc72,ACI Worldwide ,2002," As technology changes, so do we. We are immersed in initiatives with our customers and partners in emerging e-payment channels and technologies like the Internet, and smart cards. And while traditional delivery channels such as the ATM and the physical point of sale drive substantially more transactions and revenue for TSA than do the emerging channels, we believe we are well positioned as these newer technologies begin to gain market adoption. "
Doc73,ACI Worldwide ,2002," The technology on which we deliver our e-payment solutions has changed as well. The company now offers its market-leading e-payment solutions on open-systems technology, giving us the flexibility to offer our products in the fashion and on the platforms our customers want. Our BASE24-es and Money Transfer System?? (MTS??) solutions offer our customers leadership in scale and reliability, and are now available on industry-standard technology. We believe no other e-payment software provider can offer the breadth of solutions we do on as many platforms. "
Doc74,ACI Worldwide ,2002, The financial payment industry is constantly changing and is characterized by a steady shift toward people and companies conducting more of their financial affairs electronically. We believe this trend provides a solid base for our continued success. 
Doc75,ACI Worldwide ,2002," We??ve gone through a number of changes during the past year ? changes in leadership, a consolidation of internal functions, a divestiture of a business that was no longer strategic, and an investment in open-systems products. We will be making enhancements to our policies and procedures as a result of our completed re-audit. What we haven??t changed is our long-term commitment to our customers and our desire to provide the leading e-payment software in the market. "
Doc76,ACI Worldwide ,2003,"In what proved to be another challenging year for the global business environment, TSA made significant progress in a number of key areas. Financially, our earnings were $.40 per diluted share on revenues of $277 million. Results for the year included a $9.3 million non-deductible goodwill impairment charge as well as $2.0 million in restructuring charges associated with staff reductions. Our cash flow continued to be strong and we finished the year with a strengthened balance sheet. We increased our cash position from $87.9 million to $114.0 million and we continue to operate with little long-term debt. Our ratio of current assets to current liabilities improved to 1.71 to 1. "
Doc77,ACI Worldwide ,2003," We strengthened our executive management team and added two new independent board members. We realigned our staffing levels, giving us a more efficient operating structure going forward. As we made these financial and operational improvements throughout fiscal 2003, the market in turn validated our progress with an increase in market capitalization. "
Doc78,ACI Worldwide ,2003," We also made significant progress in reshaping our products for the future. Within ACI, TSA??s largest business unit, the company??s flagship BASE24?? software was essentially reinvented in the form of the re-engineered BASE24-es??. The new software inherits many of the industry-leading attributes of BASE24. BASE24-es is built for reliable, 24/7 processing of all types of electronic payment transactions and can scale to accommodate the performance demands of the world??s largest and most sophisticated e-payment processors. But while BASE24 was available on a single computing platform, BASE24-es can operate on a full range of industry-standard platforms offered by HP, IBM and Sun Microsystems. It takes advantage of the latest in software engineering techniques to yield a system that is more cost efficient for customers to operate and for ACI to maintain. "
Doc79,ACI Worldwide ,2003, IntraNet made a similar transformation in 2003. The company consolidated its market leadership position in the U.S. by migrating nearly all of its customers to the new open systems version of their Money Transfer System?? (MTS??). This gives IntraNet a platform from which to extend its U.S. market-leading solution for money transfer and global messaging into targeted regions. 
Doc80,ACI Worldwide ,2003," The theme was the same at Insession Technologies. The company??s strategy is built around providing infrastructure software for heterogeneous computing environments on multiple platforms. To that end, Insession invested in more ??open?? capabilities in 2003, enabling its flagship ICE product to compete in a multi-platform world and forging new partnerships to act as the distributor of other open systems solutions. "
Doc81,ACI Worldwide ,2003," The principle of reinvention holds that a market leader must continually invest to rise above the competition. During 2003, we migrated many of our software products from proprietary to open systems. As we enter 2004, BASE24-es strengthens our ability to retain existing customers at the same time it expands our addressable market by allowing us to penetrate new accounts and new geos. "
Doc82,ACI Worldwide ,2003," TSA??s financial stability and strengthened operations, coupled with software reshaped for the open systems world, leave us well-positioned for continued success. "
Doc83,Adobe ,1996,"For Adobe, 1996 was a year of building toward future growth in a rapidly changing industry. We are pleased to have put in place new market initiatives, technology directions, and organizational changes that position us to take full advantage of long-term opportunities, while achieving solid financial results. In 1996, revenue reached $786.6 million, and reported net income totaled $153.3 million, or $2.04 per share, compared with 1995 revenue of $762.3 million, net income of $93.5 million, and earnings per share of $1.26. These figures resulted both from normal recurring operations and from substantial returns on the company's venture investment program. Normalized net income for 1996-excluding expenses from divested or discontinued businesses and net gains from external investments-totaled $128.2 million, compared with $135.6 million in 1995, while earnings per share were $1.71, compared with $1.80. "
Doc84,Adobe ,1996," During 1996, the company declared cash dividends on its common stock totaling $0,20 per share. We repurchased 3.3 million shares of common stock during the year, offsetting dilution from expected issuances under our employee stock plans. At year end, the number of outstanding shares of common stock totaled 71.5 million. Our financial position remains strong, with cash, cash equivalents, and short-term investment balances of $564.1 million. "
Doc85,Adobe ,1996," Adobe's investment program, which includes Adobe Ventures L.P., direct investments, and other activities, annually introduces us to hundreds of innovative companies that are strategic to our software business. The program gives us a window on emerging technologies and markets, and funds companies that make a broader set of products and services available to our customers. Now three years old, the venture investment program generated significant returns in 1996, primarily because several companies in our portfolio-most notably Netscape Communications-made public stock offerings. The returns from these activities are funding internal development programs, further external investments, and other corporate initiatives. "
Doc86,Adobe ,1996," Revenue from the licensing of Adobe PostScript and other printing technologies reached $196.7 million, compared with the $183.4 million posted in 1995. This growth reflects increased shipments of color printers, Japanese printers, and implementations of the Configurable PostScript Interpreter (CPSI). In all, Adobe delivered more than 300 implementations of PostScript technology this year. "
Doc87,Adobe ,1996," The next generation of our founding technology, Adobe Postscript Level 3 software is designed to meet the printing needs of Internet users. We are working with our more than 70 OEM customers to deliver Postscript Level 3 solutions in the second half of 1997 "
Doc88,Adobe ,1996," Our new Adobe PrintGear architecture dramatically improves the quality and performance of low-cost printers for the fast-growing small officel/home office market. The first OEM product to include PrintGear technology, the NEC Superscript 860 monochrome laser printer, launched midyear and has won more than 17 industry awards. We expect PrintGear technology to ship in color inkjet printers in 1997. "
Doc89,Adobe ,1996," For on-demand digital printing in commercial and corporate settings, Adobe has developed a new production printing architecture code-named Supra. Already, more than 30 OEM customers are supporting this architecture, with IBM demonstrating the first production printing system in October. Several manufacturers are scheduled to ship similar products in 1997. "
Doc90,Adobe ,1996," Application products revenue rose to $589.9 million, compared with $578.9 million in 1995. Strong revenue from our major graphics applications indicates that our strategy of developing tightly integrated products with common features and functionality is appealing to customers. We released new versions of many key applications, including Adobe Photoshop, Adobe Acrobat, Adobe FrameMaker+SGML, Adobe Illustrator, and Adobe PageMill. A new version of Adobe PageMaker began shipping in early fiscal 1997. We also delivered entirely new products such as Adobe PhotoDeluxe, a digital imaging program based on Adobe Photoshop and aimed at consumers. "
Doc91,Adobe ,1996," The shipment of Adobe Photoshop 4.0 was our first simultaneous, cross-platform product release. In a two-week period, we delivered Windows and Macintosh versions "
Doc92,Adobe ,1996," At Adobe, we are committed to offering cross-platform implementations of our application products, giving users maximum choice and compatibility. Today we are capitalizing quickly on new opportunities in the Windows market. Having already incorporated full Windows 95 support into our applications, we now are collaborating with hardware manufacturers and other third parties to deliver powerful, creative capabilities to users of the Windows NT operating system. Adobe products such as Photoshop and PhotoDeluxe, for example, are among the first to support the Intel MMX processor, which optimizes image-handling speeds. New versions of Adobe FrameMaker and Adobe PageMaker include support for symmetric multiprocessing computers and other performance-enhancing features. Additional Windows NT product upgrades are scheduled to enter the market in 1997, aided by worldwide advertising and promotional campaigns. "
Doc93,Adobe ,1996," In light of these activities, revenue from Adobe products for the Windows platform continued to rise in 1996, now representing approximately 40 percent of our total product revenue. We expect this upward trend to continue. "
Doc94,Adobe ,1996," In just a few years, Adobe has come to offer the broadest, most popular set of tools for creating content on the World Wide Web. We have so effectively integrated Internet features into our established product line, in fact, that applications such as Adobe Photoshop and Adobe Illustrator consistently lead industry polls identifying favorite Web authoring software. At the same time, a new Macintosh version of Adobe PageMill, which is designed expressly for the Web, has quickly achieved best-in-class status in its emerging category. "
